# Time-averaged data for fix myat2
# TimeStep v_longforce
27200 -101.245
27300 -102.319
27400 -98.9285
27500 -95.55
27600 -104.926
27700 -102.6
27800 -105.934
27900 -100.902
28000 -96.8372
28100 -105.675
28200 -103.042
28300 -101.882
28400 -104.396
28500 -102.048
28600 -107.318
28700 -105.52
28800 -102.894
28900 -105.949
29000 -102.025
29100 -108.774
29200 -105.194
29300 -106.395
29400 -99.0772
29500 -107.963
29600 -109.625
29700 -110.791
29800 -105.353
29900 -105.513
30000 -100.846
30100 -114.092
30200 -108.638
30300 -111.492
30400 -104.228
30500 -102.565
30600 -112.028
30700 -116.435
30800 -110.788
30900 -108.925
31000 -102.92
31100 -111.15
31200 -111.731
31300 -113.452
31400 -110.994
31500 -108.742
31600 -107.347
31700 -117.537
31800 -113.987
31900 -108.558
32000 -108.036
32100 -110.379
32200 -108.804
32300 -110.886
32400 -115.769
32500 -106.666
32600 -116.007
32700 -107.283
32800 -112.195
32900 -110.364
33000 -110.194
33100 -116.436
33200 -118.585
33300 -105.787
33400 -108.956
33500 -109.62
33600 -113.03
33700 -121.158
33800 -115.872
33900 -113.856
34000 -108.639
34100 -114.855
34200 -114.735
34300 -114.546
34400 -116.993
34500 -111.77
34600 -114.215
34700 -118.469
34800 -112.112
34900 -119.044
35000 -117.714
35100 -119.014
35200 -114.787
35300 -106.107
35400 -112.595
35500 -117.422
35600 -123.546
35700 -121.904
35800 -117.976
35900 -108.856
36000 -111.611
36100 -115.912
36200 -123.874
36300 -123.852
36400 -117.838
36500 -115.972
36600 -115.26
36700 -116.824
36800 -120.161
36900 -117.912
37000 -118.477
37100 -121.505
37200 -119.704
37300 -114.094
37400 -116.49
37500 -119.035
37600 -122.519
37700 -125.611
37800 -118.86
37900 -114.407
38000 -118.881
38100 -123.069
38200 -118.361
38300 -124.149
38400 -123.158
38500 -117.738
38600 -120.129
38700 -123.837
38800 -121.047
38900 -124.332
39000 -121.611
39100 -121.724
39200 -121.434
39300 -123.127
39400 -120.765
39500 -125.478
39600 -125.76
39700 -127.679
39800 -120.979
39900 -122.976
40000 -118.959
40100 -129.108
40200 -126.493
40300 -127.849
40400 -125.197
40500 -122.606
40600 -124.899
40700 -129.337
40800 -124.838
40900 -129.228
41000 -125.443
41100 -128.407
41200 -126.283
41300 -127.527
41400 -126.056
41500 -128.344
41600 -131.726
41700 -131.368
41800 -126.676
41900 -124.51
42000 -127.881
42100 -129.768
42200 -129.598
42300 -134.314
42400 -128.919
42500 -125.754
42600 -130.059
42700 -134.523
42800 -133.367
42900 -131.298
43000 -128.785
43100 -129.133
43200 -133.602
43300 -130.297
43400 -134.108
43500 -129.5
43600 -135.852
43700 -135.346
