# darshan log version: 3.10
# compression method: ZLIB
# exe: /gpfs/alpine/csc143/proj-shared/againaru/warpx/warpx/build/bin/warpx.3d.MPI.CUDA.DP.OPMD /gpfs/alpine/csc143/proj-shared/againaru/warpx/warpx/Examples/Physics_applications/laser_acceleration/inputs_3d
# uid: 16326
# jobid: 446247
# start_time: 1603904022
# start_time_asci: Wed Oct 28 12:53:42 2020
# end_time: 1603904038
# end_time_asci: Wed Oct 28 12:53:58 2020
# nprocs: 12
# run time: 17
# metadata: lib_ver = 3.1.7
# metadata: h = romio_no_indep_rw=true;cb_nodes=4

# log file regions
# -------------------------------------------------------
# header: 360 bytes (uncompressed)
# job data: 318 bytes (compressed)
# record table: 2260 bytes (compressed)
# POSIX module: 6261 bytes (compressed), ver=4
# STDIO module: 3607 bytes (compressed), ver=2
# DXT_POSIX module: 5105 bytes (compressed), ver=1

# mounted file systems (mount point and fs type)
# -------------------------------------------------------
# mount entry:	/proc/sys/fs/binfmt_misc	autofs
# mount entry:	/autofs/nccs-svm1_home1	nfs
# mount entry:	/autofs/nccs-svm1_home	nfs
# mount entry:	/autofs/nccs-svm1_sw	nfs
# mount entry:	/sys/kernel/config	configfs
# mount entry:	/var/cache/fscache	xfs
# mount entry:	/sys/fs/pstore	pstore
# mount entry:	/gpfs/alpine	gpfs
# mount entry:	/dev/mqueue	mqueue
# mount entry:	/autofs	autofs
# mount entry:	/dev	devtmpfs

# ***************************************************
# DXT_POSIX module data
# ***************************************************

 X_POSIX       0  write        1          451728         2097152     15.5878     15.5897
 X_POSIX       0  write        2         2548880         1064944     15.5898     15.5899
 X_POSIX       0  write        3         3613824          449024     15.5954     15.5955
 X_POSIX       0  write        4         4062848         2097152     15.6120     15.6122
 X_POSIX       0  write        5         6160000         1046016     15.6122     15.6123

# DXT, file_id: 11735962314235293216, file_name: /gpfs/alpine/csc143/proj-shared/againaru/warpx/warpx/submit_summit/diags/diag101000/electrons/Header
# DXT, rank: 0, hostname: h35n04
# DXT, write_count: 1, read_count: 0
# DXT, mnt_pt: /gpfs/alpine, fs_type: gpfs
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       0  write        0               0             282     15.6474     15.6475

# DXT, file_id: 13358837904122865121, file_name: /gpfs/alpine/csc143/proj-shared/againaru/warpx/warpx/submit_summit/diags/diag101000/warpx_job_info
# DXT, rank: 0, hostname: h35n04
# DXT, write_count: 52, read_count: 0
# DXT, mnt_pt: /gpfs/alpine, fs_type: gpfs
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       0  write        0               0            1529     15.6519     15.6519
 X_POSIX       0  write        1            1529              23     15.6519     15.6519
 X_POSIX       0  write        2            1552              23     15.6519     15.6520
 X_POSIX       0  write        3            1575              25     15.6520     15.6520
 X_POSIX       0  write        4            1600              23     15.6520     15.6520
 X_POSIX       0  write        5            1623              29     15.6520     15.6520
 X_POSIX       0  write        6            1652              43     15.6520     15.6520
 X_POSIX       0  write        7            1695              40     15.6520     15.6520
 X_POSIX       0  write        8            1735              18     15.6520     15.6520
 X_POSIX       0  write        9            1753              22     15.6520     15.6520
 X_POSIX       0  write       10            1775              22     15.6520     15.6520
 X_POSIX       0  write       11            1797              22     15.6520     15.6521
 X_POSIX       0  write       12            1819              18     15.6521     15.6521
 X_POSIX       0  write       13            1837              27     15.6521     15.6521
 X_POSIX       0  write       14            1864              21     15.6521     15.6521
 X_POSIX       0  write       15            1885              15     15.6521     15.6521
 X_POSIX       0  write       16            1900              17     15.6521     15.6521
 X_POSIX       0  write       17            1917              27     15.6521     15.6521
 X_POSIX       0  write       18            1944              28     15.6521     15.6521
 X_POSIX       0  write       19            1972              28     15.6521     15.6521
 X_POSIX       0  write       20            2000              36     15.6521     15.6522
 X_POSIX       0  write       21            2036              24     15.6522     15.6522
 X_POSIX       0  write       22            2060              21     15.6522     15.6522
 X_POSIX       0  write       23            2081              44     15.6522     15.6522
 X_POSIX       0  write       24            2125              50     15.6522     15.6522
 X_POSIX       0  write       25            2175              25     15.6522     15.6522
 X_POSIX       0  write       26            2200              24     15.6522     15.6522
 X_POSIX       0  write       27            2224              25     15.6522     15.6522
 X_POSIX       0  write       28            2249              24     15.6522     15.6522
 X_POSIX       0  write       29            2273              24     15.6522     15.6522
 X_POSIX       0  write       30            2297              29     15.6523     15.6523
 X_POSIX       0  write       31            2326              26     15.6523     15.6523
 X_POSIX       0  write       32            2352              48     15.6523     15.6523
 X_POSIX       0  write       33            2400              38     15.6523     15.6523
 X_POSIX       0  write       34            2438              22     15.6523     15.6523
 X_POSIX       0  write       35            2460              26     15.6523     15.6523
 X_POSIX       0  write       36            2486              30     15.6523     15.6523
 X_POSIX       0  write       37            2516              28     15.6523     15.6523
 X_POSIX       0  write       38            2544              31     15.6523     15.6523
 X_POSIX       0  write       39            2575              29     15.6524     15.6524
 X_POSIX       0  write       40            2604              34     15.6524     15.6524
 X_POSIX       0  write       41            2638              32     15.6524     15.6524
 X_POSIX       0  write       42            2670              40     15.6524     15.6524
 X_POSIX       0  write       43            2710              27     15.6524     15.6524
 X_POSIX       0  write       44            2737              32     15.6524     15.6524
 X_POSIX       0  write       45            2769              20     15.6524     15.6524
 X_POSIX       0  write       46            2789              23     15.6524     15.6524
 X_POSIX       0  write       47            2812              54     15.6524     15.6525
 X_POSIX       0  write       48            2866              37     15.6525     15.6525
 X_POSIX       0  write       49            2903              24     15.6525     15.6525
 X_POSIX       0  write       50            2927              25     15.6525     15.6525
 X_POSIX       0  write       51            2952              34     15.6525     15.6525

