# Time-averaged data for fix myat1
# TimeStep v_L
58100 46.4623
58200 46.4623
58300 46.4623
58400 46.4623
58500 46.4623
58600 46.4623
58700 46.4623
58800 46.4623
58900 46.4623
59000 46.4623
59100 46.6623
59200 46.6623
59300 46.6623
59400 46.6623
59500 46.6623
59600 46.6623
59700 46.6623
59800 46.6623
59900 46.6623
60000 46.6623
60100 46.8623
60200 46.8623
60300 46.8623
60400 46.8623
60500 46.8623
60600 46.8623
60700 46.8623
60800 46.8623
60900 46.8623
61000 46.8623
61100 47.0623
61200 47.0623
61300 47.0623
61400 47.0623
61500 47.0623
61600 47.0623
61700 47.0623
61800 47.0623
61900 47.0623
62000 47.0623
62100 47.2623
62200 47.2623
62300 47.2623
62400 47.2623
62500 47.2623
62600 47.2623
62700 47.2623
62800 47.2623
62900 47.2623
63000 47.2623
63100 47.4623
63200 47.4623
63300 47.4623
63400 47.4623
63500 47.4623
63600 47.4623
63700 47.4623
63800 47.4623
63900 47.4623
64000 47.4623
64100 47.6623
64200 47.6623
64300 47.6623
64400 47.6623
64500 47.6623
64600 47.6623
64700 47.6623
64800 47.6623
64900 47.6623
65000 47.6623
65100 47.8623
65200 47.8623
65300 47.8623
65400 47.8623
65500 47.8623
65600 47.8623
65700 47.8623
65800 47.8623
65900 47.8623
66000 47.8623
66100 48.0623
66200 48.0623
66300 48.0623
66400 48.0623
66500 48.0623
66600 48.0623
66700 48.0623
66800 48.0623
66900 48.0623
67000 48.0623
67100 48.2623
67200 48.2623
67300 48.2623
67400 48.2623
67500 48.2623
67600 48.2623
67700 48.2623
67800 48.2623
67900 48.2623
68000 48.2623
68100 48.4623
68200 48.4623
68300 48.4623
68400 48.4623
68500 48.4623
68600 48.4623
68700 48.4623
68800 48.4623
68900 48.4623
69000 48.4623
69100 48.6623
69200 48.6623
69300 48.6623
69400 48.6623
69500 48.6623
69600 48.6623
69700 48.6623
69800 48.6623
69900 48.6623
70000 48.6623
70100 48.8623
70200 48.8623
70300 48.8623
70400 48.8623
70500 48.8623
70600 48.8623
70700 48.8623
70800 48.8623
70900 48.8623
71000 48.8623
71100 49.0623
71200 49.0623
71300 49.0623
71400 49.0623
71500 49.0623
71600 49.0623
71700 49.0623
71800 49.0623
71900 49.0623
72000 49.0623
72100 49.2623
72200 49.2623
72300 49.2623
72400 49.2623
72500 49.2623
72600 49.2623
72700 49.2623
72800 49.2623
72900 49.2623
73000 49.2623
73100 49.4623
73200 49.4623
73300 49.4623
73400 49.4623
73500 49.4623
73600 49.4623
73700 49.4623
73800 49.4623
73900 49.4623
74000 49.4623
74100 49.6623
74200 49.6623
74300 49.6623
74400 49.6623
74500 49.6623
74600 49.6623
74700 49.6623
74800 49.6623
74900 49.6623
75000 49.6623
75100 49.8623
75200 49.8623
75300 49.8623
75400 49.8623
75500 49.8623
75600 49.8623
75700 49.8623
75800 49.8623
75900 49.8623
76000 49.8623
76100 50.0623
76200 50.0623
76300 50.0623
76400 50.0623
76500 50.0623
76600 50.0623
76700 50.0623
76800 50.0623
76900 50.0623
77000 50.0623
77100 50.2623
77200 50.2623
77300 50.2623
77400 50.2623
77500 50.2623
77600 50.2623
77700 50.2623
77800 50.2623
77900 50.2623
78000 50.2623
78100 50.4623
78200 50.4623
78300 50.4623
78400 50.4623
78500 50.4623
78600 50.4623
78700 50.4623
78800 50.4623
78900 50.4623
79000 50.4623
79100 50.6623
79200 50.6623
79300 50.6623
79400 50.6623
79500 50.6623
79600 50.6623
79700 50.6623
79800 50.6623
79900 50.6623
80000 50.6623
80100 50.8623
80200 50.8623
80300 50.8623
80400 50.8623
80500 50.8623
80600 50.8623
80700 50.8623
80800 50.8623
80900 50.8623
81000 50.8623
81100 51.0623
81200 51.0623
81300 51.0623
81400 51.0623
81500 51.0623
81600 51.0623
81700 51.0623
81800 51.0623
81900 51.0623
82000 51.0623
82100 51.2623
82200 51.2623
82300 51.2623
82400 51.2623
82500 51.2623
82600 51.2623
82700 51.2623
82800 51.2623
82900 51.2623
83000 51.2623
83100 51.4623
83200 51.4623
83300 51.4623
83400 51.4623
83500 51.4623
83600 51.4623
83700 51.4623
83800 51.4623
83900 51.4623
84000 51.4623
84100 51.6623
84200 51.6623
84300 51.6623
84400 51.6623
84500 51.6623
84600 51.6623
84700 51.6623
84800 51.6623
84900 51.6623
85000 51.6623
85100 51.8623
85200 51.8623
85300 51.8623
85400 51.8623
85500 51.8623
85600 51.8623
85700 51.8623
85800 51.8623
85900 51.8623
86000 51.8623
86100 52.0623
